Exchange Name,Exchange Acronym,Exchange Mic Code,Country,Currency,Time Zone,Open Time,Close Time
Nasdaq,NASDAQ,XNAS,USA,USD,America/New_York, 09:30, 16:00
Jakarta Futures Exchange (bursa Berjangka Jakarta),BBJ,XBBJ,Indonesia,Indonesian Rupiah,Asia/Jakarta, 09:00, 17:30
Asx - Trade24,SFE,XSFE,Australia,Australian Dollar,Australia/Melbourne, 10:00, 16:00
Cboe Edga U.s. Equities Exchange Dark,EDGADARK,EDGD,United States,United States Dollar,America/New_York, 09:30, 16:00
Clear Street,CLST,CLST,United States,United States Dollar,America/New_York, 09:30, 16:00
Wall Street Access Nyc,WABR,WABR,United States,United States Dollar,America/New_York, 09:30, 16:00
Marex Spectron Europe Limited - Otf,MSEL OTF,MSEL,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Borsa Italiana Equity Mtf,BITEQMTF,MTAH,Italy,Euro,Europe/Rome, 09:00, 17:25
Clearcorp Dealing Systems India Limited - Astroid,ASTROID,ASTR,India,Indian Rupee,Asia/Kolkata, 09:15, 15:30
Memx Llc Equities,MEMX,MEMX,United States,United States Dollar,America/New_York, 09:30, 16:00
Natixis - Systematic Internaliser,NATX,NATX,France,Euro,Europe/Paris, 09:00, 17:30
Currenex Ireland Mtf - Rfq,CNX MTF,ICXR,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Neo Exchange - Neo-l (market By Order),NEO-L,NEOE,Canada,Canadian Dollar,America/Montreal, 09:30, 16:00
Polish Trading Point,PTP,PTPG,Poland,Polish Zloty,Europe/Warsaw, 09:00, 17:35
Pfts Stock Exchange,PFTS,PFTS,Ukraine,Ukrainian Hryvnia,Europe/Kiev, 10:00, 17:30
Cboe Australia - Transferable Custody Receipt Market,CHI-X,CXAR,Australia,Australian Dollar,Australia/Melbourne, 10:00, 16:00
"Essex Radez Llc",GLPS,GLPS,United States,United States Dollar,America/New_York, 09:30, 16:00
London Metal Exchange,LME,XLME,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Multi Commodity Exchange Of India Ltd.,MCX,XIMC,India,Indian Rupee,Asia/Kolkata, 09:15, 15:30
Cassa Di Compensazione E Garanzia Spa - Ccp Agricultural Commodity Derivatives,CCGAGRIDER,CGGD,Italy,Euro,Europe/Rome, 09:00, 17:25
Toronto Stock Exchange - Drk,TSX DRK,XDRK,Canada,Canadian Dollar,America/Montreal, 09:30, 16:00
Chicago Mercantile Exchange,CME,XCME,United States,United States Dollar,America/New_York, 09:30, 16:00
Neo Connect,NEO CONNECT,NEOC,Canada,Canadian Dollar,America/Montreal, 09:30, 16:00
Ubs Ats,UBS ATS,UBSA,United States,United States Dollar,America/New_York, 09:30, 16:00
Athens Exchange - Apa,ATHEX APA,AAPA,Greece,Euro,Europe/Athens, 10:15, 17:20
Bny Mellon - Systematic Internaliser,BNYM,BKLF,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Bank Of Montreal - London Branch - Systematic Internaliser,BMO,BMLB,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Financial Information Contributors Exchange,FICONEX,FICX,Germany,Euro,Europe/Berlin, 08:00, 20:00
Abn Amro Clearing Bank - Systematic Internaliser,AACB SI,ABNC,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
Credit Industriel Et Commercial - Systematic Internaliser,CIC,CMCI,France,Euro,Europe/Paris, 09:00, 17:30
Posit Rfq,RFQ,XRFQ,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Aquis Exchange Plc,AQX,AQXE,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Financial And Risk Transactions Services Ireland Limited - Fxall Rfs Mtf,FRTSIL,FXRS,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Berenberg Fixed Income Uk - Systematic Internaliser,BGFU,BGFU,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
National Bank Financial Inc. - Systematic Internaliser,NBF,NBFL,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Jpbx,JPBX,JPBX,United States,United States Dollar,America/New_York, 09:30, 16:00
